nct_id,year,actual,predicted,p_bayes,p_power,p_reg,drug_class,endpoint_type,n_train
NCT03521934,2018,1,0.757,0.704,0.84,0.725,sglt2i,other,678
NCT03541174,2018,1,0.741,0.709,0.772,0.749,other,surrogate,678
NCT03552575,2018,0,0.294,0.57,0.061,0.178,arni,other,678
NCT03570697,2018,1,0.546,0.698,0.232,0.743,pcsk9i,other,678
NCT03619213,2018,1,0.774,0.752,0.862,0.684,sglt2i,cv_death,678
NCT03649711,2018,1,0.305,0.571,0.072,0.207,antiplat,other,678
NCT03684642,2018,0,0.815,0.7,0.99,0.756,other,surrogate,678
NCT03689374,2018,1,0.86,0.777,0.99,0.81,glp1ra,surrogate,678
NCT03713684,2018,0,0.71,0.709,0.655,0.787,other,surrogate,678
NCT03730662,2018,1,0.861,0.777,0.99,0.816,glp1ra,surrogate,678
NCT03743636,2018,0,0.312,0.591,0.075,0.197,other,other,678
NCT03815292,2018,1,0.493,0.654,0.16,0.701,other,other,678
NCT03825380,2018,0,0.498,0.624,0.245,0.649,other,other,678
NCT03968224,2018,0,0.355,0.611,0.188,0.181,sglt2i,other,678
NCT03466866,2019,0,0.32,0.565,0.108,0.224,other,other,708
NCT03594110,2019,1,0.789,0.742,0.855,0.772,sglt2i,cv_death,708
NCT03689244,2019,0,0.403,0.639,0.081,0.477,other,other,708
NCT03735979,2019,1,0.363,0.574,0.18,0.281,other,other,708
NCT03740919,2019,0,0.816,0.689,0.969,0.803,other,surrogate,708
NCT03759392,2019,0,0.45,0.639,0.154,0.562,other,other,708
NCT03770728,2019,0,0.678,0.697,0.57,0.799,other,surrogate,708
NCT03819153,2019,1,0.666,0.746,0.619,0.607,glp1ra,cv_death,708
NCT03830281,2019,0,0.823,0.689,0.96,0.845,other,surrogate,708
NCT03860935,2019,1,0.366,0.652,0.11,0.266,other,acm,708
NCT03861052,2019,1,0.873,0.768,0.98,0.892,glp1ra,surrogate,708
NCT03875729,2019,1,0.436,0.639,0.174,0.478,other,other,708
NCT03877224,2019,0,0.615,0.691,0.438,0.738,sglt2i,other,708
NCT03877237,2019,1,0.566,0.691,0.295,0.746,sglt2i,other,708
NCT03882970,2019,1,0.863,0.768,0.99,0.836,glp1ra,surrogate,708
NCT03904693,2019,1,0.417,0.639,0.096,0.51,other,other,708
NCT03914326,2019,1,0.766,0.744,0.987,0.49,glp1ra,mace,708
NCT03952143,2019,0,0.83,0.689,0.99,0.83,other,surrogate,708
NCT03954834,2019,1,0.861,0.766,0.935,0.907,glp1ra,surrogate,708
NCT03987919,2019,1,0.866,0.768,0.99,0.847,glp1ra,surrogate,708
NCT03988634,2019,1,0.423,0.685,0.078,0.489,arni,other,708
NCT03989232,2019,1,0.871,0.766,0.99,0.873,glp1ra,surrogate,708
NCT04017832,2019,1,0.866,0.766,0.99,0.852,glp1ra,surrogate,708
NCT04039503,2019,1,0.86,0.766,0.933,0.908,glp1ra,surrogate,708
NCT04109547,2019,1,0.851,0.766,0.953,0.845,glp1ra,surrogate,708
NCT04157751,2020,1,0.641,0.694,0.451,0.822,sglt2i,other,733
NCT04233801,2020,1,0.783,0.762,0.752,0.861,sglt2i,surrogate,733
NCT04251156,2020,1,0.594,0.698,0.37,0.743,glp1ra,other,733
NCT04252287,2020,1,0.632,0.694,0.413,0.84,sglt2i,other,733
NCT04271475,2020,0,0.63,0.695,0.479,0.738,other,surrogate,733
NCT04349072,2020,1,0.452,0.638,0.09,0.661,other,other,733
NCT04404166,2020,1,0.688,0.653,0.967,0.356,other,surrogate,733
NCT04415658,2020,0,0.424,0.56,0.363,0.292,other,other,733
NCT04429503,2020,1,0.456,0.607,0.214,0.555,other,other,733
NCT04435626,2020,1,0.799,0.742,0.908,0.739,ns_mra,cv_death,733
NCT04460885,2020,1,0.807,0.685,0.99,0.746,other,surrogate,733
NCT04509674,2020,0,0.732,0.744,0.846,0.553,sglt2i,acm,733
NCT04537923,2020,1,0.859,0.768,0.99,0.821,glp1ra,surrogate,733
NCT04560998,2020,1,0.672,0.698,0.658,0.649,glp1ra,other,733
NCT04564742,2020,1,0.81,0.694,0.99,0.743,sglt2i,other,733
NCT04588259,2020,0,0.758,0.685,0.87,0.718,other,surrogate,733
NCT04591626,2020,1,0.876,0.766,0.972,0.919,glp1ra,surrogate,733
NCT04620135,2020,1,0.484,0.607,0.14,0.769,other,other,733
NCT04518293,2021,1,0.838,0.761,0.99,0.749,arb,surrogate,751
NCT04518306,2021,1,0.843,0.759,0.981,0.786,arb,surrogate,751
NCT04560309,2021,0,0.354,0.575,0.086,0.376,other,other,751
NCT04576988,2021,1,0.774,0.696,0.864,0.773,other,surrogate,751
NCT04600921,2021,1,0.395,0.632,0.125,0.393,sglt2i,other,751
NCT04657003,2021,1,0.682,0.703,0.56,0.821,glp1ra,other,751
NCT04707469,2021,1,0.86,0.771,0.99,0.82,glp1ra,surrogate,751
NCT04732221,2021,0,0.419,0.642,0.07,0.551,other,other,751
NCT04760626,2021,1,0.808,0.685,0.99,0.751,other,surrogate,751
NCT04770532,2021,1,0.805,0.685,0.974,0.762,other,surrogate,751
NCT04795531,2021,1,0.824,0.696,0.985,0.802,other,surrogate,751
NCT04807400,2021,1,0.876,0.764,0.99,0.895,pcsk9i,surrogate,751
NCT04809220,2021,1,0.88,0.771,0.99,0.903,glp1ra,surrogate,751
NCT04847557,2021,1,0.691,0.703,0.627,0.761,glp1ra,other,751
NCT04848480,2021,1,0.808,0.685,0.984,0.757,other,surrogate,751
NCT04865770,2021,0,0.483,0.755,0.077,0.616,glp1ra,renal,751
NCT04873934,2021,1,0.859,0.764,0.99,0.829,pcsk9i,surrogate,751
NCT04880850,2021,1,0.807,0.685,0.984,0.754,other,surrogate,751
NCT04929249,2021,1,0.868,0.764,0.99,0.863,pcsk9i,surrogate,751
NCT04986202,2021,0,0.458,0.642,0.155,0.588,other,other,751
NCT05075408,2021,0,0.468,0.642,0.113,0.689,other,other,751
NCT05093933,2021,0,0.761,0.642,0.99,0.632,other,other,751
NCT05142722,2021,1,0.817,0.696,0.99,0.769,other,surrogate,751
NCT05085275,2022,0,0.3,0.576,0.077,0.17,other,acm,774
NCT05186818,2022,1,0.48,0.64,0.154,0.68,other,other,774
NCT05259033,2022,1,0.808,0.689,0.99,0.742,other,surrogate,774
NCT05260021,2022,1,0.682,0.77,0.455,0.861,glp1ra,surrogate,774
NCT05352815,2022,1,0.81,0.689,0.99,0.75,other,surrogate,774
NCT05413369,2022,1,0.879,0.778,0.99,0.884,glp1ra,surrogate,774
NCT05478252,2022,1,0.869,0.778,0.99,0.846,glp1ra,surrogate,774
NCT05643573,2022,1,0.789,0.64,0.99,0.746,other,other,774
